suburb,postcode,suburb_postcode,state_long,zone
Corrabare,2325,CORRABARE 2325,New South Wales,Remote
Elrington,2325,ELRINGTON 2325,New South Wales,Remote
Greta Main,2325,GRETA MAIN 2325,New South Wales,Remote
Kitchener,2325,KITCHENER 2325,New South Wales,Remote
Moruben,2325,MORUBEN 2325,New South Wales,Remote
Olney,2325,OLNEY 2325,New South Wales,Remote
Paynes Crossing,2325,PAYNES CROSSING 2325,New South Wales,Remote
Sweetmans Creek,2325,SWEETMANS CREEK 2325,New South Wales,Remote
Bureen,2328,BUREEN 2328,New South Wales,Remote
Dalswinton,2328,DALSWINTON 2328,New South Wales,Remote
Denman,2328,DENMAN 2328,New South Wales,Remote
Giants Creek,2328,GIANTS CREEK 2328,New South Wales,Remote
Hollydeen,2328,HOLLYDEEN 2328,New South Wales,Remote
Kerrabee,2328,KERRABEE 2328,New South Wales,Remote
Mangoola,2328,MANGOOLA 2328,New South Wales,Remote
